Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",15.9,0.42,+2.71%,15.51,16.17,15.25,45175880,"12:49 ET"
AAON,"Aaon Inc",65.06,0.74000000000001,+1.15%,64.65,65.22,63.9,30493,"12:49 ET"
AAPL,"Apple Inc",132.02,0.14000000000001,+0.11%,132.16,132.58,130.78,48481462,"12:50 ET"
AAWW,"Atlas Air Ww",56.39,0.28,+0.50%,56.17,56.95,56,67723,"12:48 ET"
AAXN,"Axon Inc",132.01,3.51,+2.73%,129.04,134.73,129.04,338131,"12:49 ET"
ABCB,"Ameris Bancorp",36.78,0.82,+2.28%,36.39,37.04,35.96,80674,"12:48 ET"
ABMD,"Abiomed Inc",307.35,5.02,+1.66%,304.34,309.13,300.81,54418,"12:49 ET"
ACAD,"Acadia Pharmaceutica",55.37,-0.22000000000001,-0.40%,55.72,55.9,54.86,312004,"12:49 ET"
ACCD,"Accolade Inc",55.03,1.01,+1.87%,54.89,56,53.41,214927,"12:49 ET"
ACET,"Adicet Bio Inc",13.96,-0.64,-4.38%,14.5,14.91,13.77,71872,"12:50 ET"
ACGL,"Arch Capital Grp Ltd",35.14,0.56,+1.62%,34.88,35.52,34.85,431229,"12:43 ET"
ACHC,"Acadia Healthcr Company",49.65,1.21,+2.50%,48.92,49.83,48.76,152875,"12:50 ET"
ACIA,"Acacia Communica",72.19,0.36,+0.50%,72.18,72.47,71.7,211648,"12:48 ET"
ACIW,"Aci Worldwide Inc",38.13,0.18,+0.47%,38.11,38.52,37.79,172996,"12:48 ET"
ACMR,"Acm Research Inc",68.49,-4.59,-6.28%,73.9,76,67.28,334478,"12:44 ET"
ACRS,"Aclaris Therapts",7.55,0.54,+7.70%,6.94,7.78,6.6,485182,"12:46 ET"
ACRX,"Acelrx Pharmaceutica",1.355,0.125,+10.16%,1.24,1.36,1.23,999660,"12:44 ET"
ADBE,"Adobe Systems Inc",501.21,-2.96,-0.59%,505.13,506,498.66,553803,"12:49 ET"
ADI,"Analog Devices",144.31,0.030000000000001,+0.02%,144.8,145.62,144.1,692811,"12:49 ET"
ADP,"Automatic Data Procs",175.99,-0.34999999999999,-0.20%,177.5,178.26,175.61,330604,"12:49 ET"
ADPT,"Adaptive Biotechnologies Corp",65.17,-0.22,-0.34%,65.21,65.69,63.23,387503,"12:39 ET"
ADSK,"Autodesk Inc",302.5,-1.36,-0.45%,305.65,307.22,300.07,250388,"12:49 ET"
ADUS,"Addus Homecare Corp",114.1,-0.64,-0.56%,115,116.2,113.28,20756,"12:48 ET"
ADVM,"Adverum Biotechnlgs",12.2,-0.71,-5.50%,12.94,12.94,12.18,323590,"12:49 ET"
AEGN,"Aegion Corp",18.78,0.26,+1.40%,18.76,19.1,18.73,13796,"12:32 ET"
AEIS,"Advanced Energy",98.03,0.090000000000003,+0.09%,98.12,99.6,97.32,59014,"12:35 ET"
AEP,"American Electric Power Company",81.38,-0.02000000000001,-0.02%,81.89,82.27,81.33,777859,"12:49 ET"
AFIN,"American Finance Trust Inc Cl A",7.7,0.1,+1.32%,7.64,7.86,7.63,112187,"12:49 ET"
AFYA,"Afya Ltd Cl A",24.23,-0.02,-0.08%,24.3,24.58,24.04,55279,"12:47 ET"
AGFS,"Agrofresh Solutions",2.45,0.14,+6.06%,2.26,2.48,2.26,17455,"12:49 ET"
AGIO,"Agios Pharmaceuticals",43.43,1.58,+3.78%,41.48,43.43,41.15,270087,"12:44 ET"
AGNC,"American Capital Age",15.73,0.3,+1.94%,15.45,15.77,15.45,4087305,"12:49 ET"
AHCO,"Adapthealth Corp Cl. A",37.66,-0.87,-2.26%,39,39.32,37.6,248839,"12:50 ET"
AIMC,"Altra Indtl Mtn",54.74,1.14,+2.13%,54.15,55.1,53.66,56253,"12:45 ET"
AKAM,"Akamai Technologies",107.51,0.87,+0.82%,106.95,108.06,106.8,402378,"12:49 ET"
AKRO,"Akero Therapeutics Inc",26.12,-0.15,-0.57%,26.15,26.58,25.53,91858,"12:45 ET"
ALEC,"Alector Inc",15.96,-0.74,-4.43%,16.98,17,15.73,275421,"12:48 ET"
ALGM,"Allegro Microsystems Inc",26.76,-0.58,-2.12%,27.77,27.77,26.01,261328,"12:47 ET"
ALGN,"Align Technology",531.64,-4.95,-0.92%,540.52,543.65,530.12,98632,"12:48 ET"
ALGT,"Allegiant Travel Com",180.4,5.24,+2.99%,175.51,182.91,175.51,33377,"12:46 ET"
ALKS,"Alkermes Plc",21.29,-0.19,-0.88%,21.62,21.62,21.13,336103,"12:48 ET"
ALLK,"Allakos Inc",143.98,-0.030000000000001,-0.02%,144.97,145.74,140.92,193590,"12:46 ET"
ALLO,"Allogene Therapeutics Inc",27.61,0.059999999999999,+0.22%,27.67,27.98,27.01,405673,"12:43 ET"
ALNY,"Alnylam Pharmaceuticals",137.34,-0.97,-0.70%,138.3,140.01,135.47,173965,"12:49 ET"
ALRM,Alarm.com,102.2,1.9,+1.89%,101.47,103.01,100.5,200927,"12:49 ET"
ALRN,"Aileron Therapeutics Inc",1.165,0.105,+9.91%,1.13,1.19,1.11,2514992,"12:35 ET"
ALTA,Altabancorp,27.34,-0.1,-0.36%,27.41,28.4,27.31,3279,"12:43 ET"
ALTM,"Altus Midstream Company",48.74,2.44,+5.27%,46.9,49.44,46.51,27701,"12:37 ET"
ALTR,"Altair Engineering Inc Cl A",59.2,0.77,+1.32%,58.43,59.44,57.7,64657,"12:46 ET"
ALVR,"Allovir Inc",47.67,1.7,+3.70%,45.27,48.7,42.31,239841,"12:50 ET"
ALXN,"Alexion Pharm Inc",153.66,-0.15000000000001,-0.10%,154.15,154.23,153.35,1227015,"12:49 ET"
ALXO,"Alx Oncology Holdings Inc",88.65,-3.99,-4.31%,92.1,92.1,87.59,43169,"12:43 ET"
AMAT,"Applied Materials",85.1,-0.54000000000001,-0.63%,86.3,86.5,84.73,1400905,"12:50 ET"
AMBA,"Ambarella Inc",93.26,1.3,+1.41%,92.7,94.79,92.35,270146,"12:50 ET"
AMD,"Adv Micro Devices",91.73,-1.43,-1.53%,93.08,93.13,91.46,14874681,"12:50 ET"
AMED,"Amedisys Inc",291.54,2.63,+0.91%,291.05,296.2,290.79,54233,"12:48 ET"
AMGN,"Amgen Inc",222.85,1.86,+0.84%,221.48,223.45,220.66,698968,"12:49 ET"
AMKR,"Amkor Technology",15.17,0.18,+1.20%,15.1,15.25,14.99,237313,"12:48 ET"
AMPH,"Amphastar Pharma",18.87,0.010000000000002,+0.05%,18.85,19.05,18.82,24713,"12:30 ET"
AMRN,"Amarin Corp Ads",5.16,0.21,+4.24%,4.92,5.17,4.92,4163036,"12:49 ET"
AMSF,"Amerisafe Inc",57.04,0.57,+1.01%,56.76,57.81,56.76,8918,"12:29 ET"
AMTI,"Applied Molecular Transport Inc",33.79,0.52,+1.56%,33.29,34,32.75,51340,"12:30 ET"
AMWD,"Amer Woodmark Cp",93.61,-0.73999999999999,-0.78%,94.44,95.45,93.56,18851,"12:49 ET"
AMZN,"Amazon.com Inc",3200.92,-5.5999999999999,-0.17%,3205,3206.2,3184.17,1023650,"12:50 ET"
ANAT,"Amer Natl Insurance",93.19,0.59,+0.64%,92.6,94.24,91.91,10734,"12:19 ET"
ANSS,"Ansys Inc",363.53,1.22,+0.34%,364.72,369.82,362.4,141715,"12:49 ET"
APA,"Apache Corp",14.76,0.64,+4.53%,14.33,15.17,14.23,4453446,"12:50 ET"
APHA,"Aphria Inc",7.25,0.13,+1.83%,7.12,7.34,6.95,4717825,"12:48 ET"
APLS,"Apellis Pharmaceuticals Inc",54.72,-0.91,-1.64%,55.35,55.47,53.15,96535,"12:48 ET"
APPF,"Appfolio Cl A",184.68,2.22,+1.22%,183.58,186.23,180.47,60084,"12:50 ET"
APPN,"Appian Corp Cl A",155.45,-3.93,-2.47%,160.54,161.16,153.27,368910,"12:49 ET"
APPS,"Digital Turbine",58.21,-1.5,-2.51%,59.7,60.48,57.79,1557115,"12:46 ET"
ARCB,"Arcbest Corp",43.31,0.65000000000001,+1.52%,42.99,43.66,42.86,17792,"12:29 ET"
ARCE,"Arco Platform Ltd Cl A",36.89,0.9,+2.50%,35.9,37.19,35.65,83427,"12:47 ET"
ARCT,"Arcturus Therapeutics Ltd",106.63,-11.83,-9.99%,112.27,116.53,99.23,840682,"12:47 ET"
ARGX,"Argenx Se Ads",305.69,-0.68000000000001,-0.22%,311.94,312.06,304.55,30104,"12:28 ET"
ARLP,"Alliance Resource Pt",4.68,0.15,+3.31%,4.55,4.77,4.55,205231,"12:35 ET"
ARNA,"Arena Pharmaceuticals",75.81,0.36,+0.48%,75.68,76.14,73.73,86052,"12:46 ET"
ARRY,"Array Technologies Inc",45.51,1.24,+2.80%,44.95,46.3,44.31,1488075,"12:49 ET"
ARVN,"Arvinas Inc",78.48,-2.23,-2.76%,79.87,79.99,77.57,373091,"12:50 ET"
ARWR,"Arrowhead Pharma",83.9,1.07,+1.29%,82.83,84,81.74,233276,"12:42 ET"
ASML,"Asml Hld NY Reg",478.53,2.35,+0.49%,478.94,480.39,475.15,238622,"12:48 ET"
ASND,"Ascendis Pharma Ads",173.31,-5.44,-3.04%,179.05,179.05,173.31,106563,"12:48 ET"
ASRT,"Assertio Therapeutics Inc",0.3845,0.0445,+13.09%,0.35,0.3977,0.3428,7739995,"12:46 ET"
ASTE,"Astec Inds Inc",57.87,0.52999999999999,+0.92%,57.99,58.32,56.86,21341,"12:48 ET"
ATNI,"Atn International",44.59,1.01,+2.32%,43.94,45.35,43.43,14197,"12:31 ET"
ATNX,"Athenex Inc",11.68,-0.17,-1.43%,11.86,12,11.53,247175,"12:48 ET"
ATRA,"Atara Biotherap",22.54,0.02,+0.09%,22.49,22.74,22.1,148739,"12:49 ET"
ATRC,"Atricure Inc",57.83,2.53,+4.58%,56.13,57.93,55.77,132922,"12:40 ET"
ATRI,"Atrion Corp",637.66,-4.52,-0.70%,636.99,646,635.45,2351,"12:47 ET"
ATSG,"Air Transport",30.97,-0.060000000000002,-0.19%,31.05,31.36,30.85,32770,"12:48 ET"
ATVI,"Activision Blizzard",90.03,0.61,+0.68%,89.95,90.08,88.8,2437264,"12:49 ET"
AUB,"Atlantic Union Bancshares Corp",32.31,0.65,+2.05%,31.62,32.43,31.43,52179,"12:48 ET"
AUPH,"Aurinia Pharm Ord",13.64,0.13,+0.96%,13.65,13.82,13.5,882900,"12:49 ET"
AVAV,"Aerovironment Inc",90.43,1.04,+1.16%,90.13,90.77,89.83,41878,"12:44 ET"
AVGO,"Broadcom Ltd",426.87,-6.23,-1.44%,435,436,426.05,384327,"12:50 ET"
AVIR,"Atea Pharmaceuticals Inc",34.08,-2.13,-5.88%,36.69,37.1,33.7,127169,"12:44 ET"
AVRO,"Avrobio Inc",14.54,-0.21,-1.42%,14.91,15.12,14.48,48635,"12:46 ET"
AVT,"Avnet Inc",34.31,0.26000000000001,+0.76%,35.09,35.09,33.64,503451,"12:48 ET"
AXNX,"Axonics Modulation Technologies Inc",47.29,-1.66,-3.39%,46.01,49.26,46.01,195029,"12:50 ET"
AXSM,"Axsome Thera",84.9,-1.62,-1.87%,86.64,87.99,83.11,199261,"12:45 ET"
AY,"Atlantica Yield Plc",39.77,1.13,+2.92%,39.06,39.82,38.72,288428,"12:48 ET"
AZN,"Astrazeneca Plc",48.75,0.020000000000003,+0.04%,49.11,49.2,48.63,6357633,"12:50 ET"
AZPN,"Aspen Technology",132.16,0.21000000000001,+0.16%,131.35,133.89,130.57,95436,"12:47 ET"
BAND,"Bandwidth Inc",173.95,-15.61,-8.23%,188.95,189.13,173.95,385789,"12:48 ET"
BANF,"Bancfirst Corp",57.74,1.82,+3.25%,56.08,58.01,56.08,16049,"12:37 ET"
BANR,"Banner Corp",44.89,0.74,+1.68%,44.32,45.17,44.32,39762,"12:40 ET"
BATRK,"Liberty Braves CS C",25.18,0.2,+0.80%,25.13,25.47,25.13,77017,"12:38 ET"
BBBY,"Bed Bath & Beyond",18.87,-0.12,-0.63%,19.04,19.38,18.82,2392276,"12:48 ET"
BBIO,"Bridgebio Pharma Inc",68.52,0.61,+0.90%,67.91,69,66.93,106143,"12:45 ET"
BCPC,"Balchem Cp",113.68,0.44000000000001,+0.39%,114.01,114.93,112.44,12407,"12:41 ET"
BDGE,"Bridge Bancorp Inc",23.94,0.43,+1.83%,24.32,24.32,23.71,17393,"12:32 ET"
BDTX,"Black Diamond Therapeutics Inc",33.5,-0.26,-0.77%,33.85,34.07,33.01,69285,"12:49 ET"
BEAM,"Beam Therapeutics Inc",88.87,0.35000000000001,+0.40%,88.79,89.6,83.09,367259,"12:49 ET"
BEAT,"Biotelemetry Inc",72.04,0.010000000000005,+0.01%,72.16,72.28,72.03,313861,"12:48 ET"
BECN,"Beacon Roofing Suppl",39.86,-0.29,-0.72%,40.71,40.75,39.62,155905,"12:44 ET"
BGNE,"Beigene Ltd Ads",262.7,1.26,+0.48%,263.79,266.37,256.58,72918,"12:38 ET"
BHF,"Brighthouse Financial Inc",35.24,1.61,+4.79%,34.09,35.33,34.09,180993,"12:44 ET"
BIDU,"Baidu Inc",191.89,0.63,+0.33%,191.35,194.61,185.16,3630014,"12:49 ET"
BIGC,"Bigcommerce Holdings Inc",72.91,0.72,+1.00%,72,73.88,71.17,1308244,"12:48 ET"
BIIB,"Biogen Inc",250.96,3.09,+1.25%,247,251.4,247,434268,"12:46 ET"
BILI,"Bilibili Inc ADR",82.3,-3.58,-4.17%,87,87.26,82,2733370,"12:50 ET"
BKEP,"Blueknight Energy LP",2.15,0.04,+1.90%,2.12,2.19,2.09,181384,"12:32 ET"
BKNG,"Booking Holdings Inc",2101.72,48.9,+2.38%,2055.39,2104.71,2050.43,102796,"12:47 ET"
BL,"Blackline Inc",139.34,-0.94,-0.67%,140.65,141.82,136.91,180396,"12:48 ET"
BLCM,"Bellicum Pharma Comm",3.49,-0.11,-3.06%,3.67,3.69,3.46,242682,"12:41 ET"
BLDP,"Ballard Power Sys",23.22,0.51,+2.25%,23.05,23.58,22.48,4486067,"12:49 ET"
BLDR,"Builders Firstsource",41.06,0.010000000000005,+0.02%,41.22,41.52,40.62,666225,"12:50 ET"
BLI,"Berkeley Lights Inc",102.01,-3.99,-3.76%,110.93,113.53,101.28,242209,"12:49 ET"
BLKB,"Blackbaud Inc",58.79,-0.47,-0.79%,59.26,59.9,58.44,127886,"12:49 ET"
BLMN,"Bloomin' Brands Inc",18.99,0.27,+1.44%,18.89,19.2,18.75,379366,"12:48 ET"
BLUE,"Bluebird Bio",46.11,0.47,+1.03%,45.87,46.51,44.88,222544,"12:49 ET"
BMCH,"Bmc Stock Holdings",53.94,0.019999999999996,+0.04%,54.05,54.44,53.35,167074,"12:48 ET"
BMRN,"Biomarin Pharmaceuticals",88.62,0.27000000000001,+0.31%,88.63,90,87.71,626891,"12:49 ET"
BNTX,"Biontech Se ADR",98.85,-1.71,-1.70%,97.12,99.44,95,2416501,"12:43 ET"
BOKF,"Bok Financial Corp",69.18,1.92,+2.85%,67.65,69.61,67.38,102123,"12:43 ET"
BPFH,"Boston Pvt Finl Hld",8.16,0.16,+2.00%,8.19,8.27,8.05,102371,"12:49 ET"
BPMC,"Blueprint Medicines Corp",123.02,-0.7,-0.57%,124.69,124.9,122.59,74859,"12:48 ET"
BPOP,"Popular Inc",56.29,2.03,+3.74%,54.83,56.8,54.83,159422,"12:50 ET"
BPY,"Brookfield Property Partners L",14.9,0.42,+2.90%,14.49,14.91,14.45,407367,"12:50 ET"
BRID,"Bridgford Foods Cp",18.7,-0.05,-0.27%,18.5,18.7,18.5,1000,12/22/20
BRKL,"Brookline Bancorp",11.73,0.28,+2.45%,11.46,11.84,11.43,56595,"12:32 ET"
BRKR,"Bruker Corp",53.96,-0.039999999999999,-0.07%,53.85,54.58,53.57,104431,"12:45 ET"
BRKS,"Brooks Automation",73.59,-0.95999999999999,-1.29%,74.95,75.76,73.55,57777,"12:49 ET"
BSY,"Bentley Systems Incorporated Cl B",38.69,-0.17,-0.44%,38.7,38.86,37.86,65483,"12:47 ET"
BTAI,"Bioxcel Therapeutics Inc",53,-0.68,-1.27%,54,54.18,52.04,114372,"12:49 ET"
BUSE,"First Busey Corp",21.21,0.41,+1.97%,20.88,21.31,20.88,47305,"12:46 ET"
BYND,"Beyond Meat Inc",140.19,1.51,+1.09%,138.71,140.8,136.14,1056594,"12:49 ET"
BZUN,"Baozun Inc Ads",34.5,0.33,+0.97%,34.29,34.85,34.29,463840,"12:47 ET"
CAC,"Camden Natl Cp",34.97,0.2,+0.58%,35.01,35.36,34.94,10524,"12:33 ET"
CACC,"Credit Acceptance",344.9,16.16,+4.92%,331.33,347.08,331.33,29382,"12:45 ET"
CAKE,"Cheesecake Fact",37.53,0.5,+1.35%,37.37,38.08,37,285669,"12:49 ET"
CALM,"Cal-Maine Foods IN",37.38,0.24,+0.65%,36.97,37.4,36.86,59095,"12:44 ET"
CAR,"Avis Budget Group",35.54,0.87,+2.51%,35.15,36.25,34.95,399459,"12:49 ET"
CARG,"Cargurus Inc Cl A",33.01,-0.93,-2.74%,34.11,34.52,33,372373,"12:49 ET"
CASH,"Meta Financial Group",36.51,0.65,+1.81%,36,36.79,36,100770,"12:49 ET"
CASS,"Cass Information Sys",38.57,0.61,+1.61%,38.01,38.95,38.01,21629,"12:33 ET"
CASY,"Casey's General Stor",178.45,0.81,+0.46%,179.21,180.4,177.36,87075,"12:42 ET"
CATY,"Cathay Genl Bncp",31.4,1.05,+3.46%,30.6,31.45,30.51,139529,"12:43 ET"
CBPO,"China Biologic Produ",117.77,-0.26000000000001,-0.22%,118.07,118.18,117.66,33334,"12:45 ET"
CBRL,"Cracker Barrel",135.55,-0.11000000000001,-0.08%,136.6,137,135.29,69636,"12:49 ET"
CBSH,"Commerce Bancshares",67.54,2.57,+3.96%,65.44,67.7,65.2,287495,"12:48 ET"
CCLP,"CSI Compressco",1.1501,0.0011999999999999,+0.10%,1.15,1.2,1.13,72305,"12:30 ET"
CCMP,"Cabot Microelectron",141.68,0.89000000000001,+0.63%,141.73,142.72,140.82,38014,"12:45 ET"
CCOI,"Cogent Comm Hlds",60.23,-1.74,-2.81%,62.43,62.7,60.18,131240,"12:49 ET"
CCXI,"Chemocentryx Inc",61.67,0.11,+0.18%,62.24,62.3,60.31,193072,"12:48 ET"
CDK,"Cdk Global Inc",50.74,-0.019999999999996,-0.04%,51.11,51.18,50.6,157360,"12:46 ET"
CDLX,"Cardlytics Inc",146.98,1.86,+1.28%,145.51,148.82,142.25,79007,"12:49 ET"
CDNA,"Caredx Inc",77.64,0.55,+0.71%,77.51,79.92,75.09,551929,"12:49 ET"
CDNS,"Cadence Design Sys",133.66,-0.71000000000001,-0.53%,134.86,135.99,132.72,464715,"12:49 ET"
CDW,"CDW Corp",130.52,-0.22999999999999,-0.18%,131.41,132.59,130.4,336022,"12:49 ET"
CELH,"Celsius Holdings Inc",41.59,0.24,+0.58%,41.5,42.48,40.6,329061,"12:49 ET"
CENTA,"Central Garden & Pet",34.71,0.22,+0.64%,34.46,34.84,34.23,42354,"12:49 ET"
CERN,"Cerner Corp",78.12,0.74000000000001,+0.96%,77.78,78.23,77.35,242613,"12:48 ET"
CERS,"Cerus Corp",8.39,-0.17,-1.99%,8.83,8.87,8.3,1201723,"12:50 ET"
CFFN,"Capitol Fed Finl Inc",12.3,0.22,+1.82%,12.13,12.37,12.09,103431,"12:47 ET"
CG,"The Carlyle Group",31.62,0.64,+2.07%,31.23,31.68,31.07,216088,"12:49 ET"
CGNX,"Cognex Cp",81.68,1.17,+1.45%,80.5,82.04,80.26,584234,"12:49 ET"
CHCO,"City Holding Company",68.02,0.64999999999999,+0.96%,67.59,69.37,67.59,12677,"12:45 ET"
CHDN,"Churchill Downs IN",208.1,4.97,+2.45%,203.48,208.25,202.72,114096,"12:49 ET"
CHKP,"Check Point Software",136.46,3.04,+2.28%,134.45,137.47,133.6,485596,"12:49 ET"
CHNG,"Change Healthcare Inc",18.63,-0.2,-1.06%,18.9,19.08,18.53,530346,"12:49 ET"
CHRS,"Coherus Bio",17.06,-0.1,-0.58%,17.36,17.36,17,117917,"12:47 ET"
CHRW,"C.H. Robinson Ww",93.61,-0.78,-0.83%,94.19,95.2,93.26,389330,"12:50 ET"
CHTR,"Charter Communicatio",651.53,10.43,+1.63%,642.87,651.53,640.03,1092112,"12:48 ET"
CIGI,"Colliers Intl Grp IN",89.84,0.57000000000001,+0.64%,89.69,90.06,89.51,3542,"12:26 ET"
CINF,"Cincinnati Financial",85.3,1.34,+1.60%,85.6,87.9,84.67,455123,"12:44 ET"
CMCO,"Columbus Mckinnon",39.55,0.59999999999999,+1.54%,39.34,39.9,37.34,36375,"12:30 ET"
CMCSA,"Comcast Corp A",49.98,-0.040000000000006,-0.08%,50.15,50.24,49.65,4665983,"12:49 ET"
CME,"CME Group Inc",182.57,1.57,+0.87%,181.45,183.3,181.3,648735,"12:49 ET"
CMPR,"Cimpress N.V. Ord",87.42,-0.090000000000003,-0.10%,88.14,90.15,87.42,17439,"12:49 ET"
CNOB,"Connectone Bancorp",19.34,0.45,+2.38%,18.96,19.48,18.89,18168,"12:30 ET"
CNSL,"Consolidated Communications Holdings Inc",4.81,0.0099999999999998,+0.21%,4.8,4.92,4.79,126059,"12:45 ET"
CNST,"Constellation Pharmaceuticals Inc",33.75,-0.72,-2.09%,34.32,34.33,33.08,145916,"12:46 ET"
CNXN,"PC Connection Inc",44.63,0.24,+0.54%,45.65,45.65,44.4,8301,"12:43 ET"
COHR,"Coherent Inc",147.89,2.12,+1.45%,146,149.94,145.82,48189,"12:48 ET"
COKE,"Coca Cola Bot Cons",265.5,1.5,+0.57%,264.54,266.16,264.54,3344,"12:37 ET"
COLB,"Columbia Banking Sys",34.4,1.06,+3.18%,33.78,34.44,33.74,36955,"12:47 ET"
COLM,"Columbia Sprtswr",90.36,1.44,+1.62%,89.21,90.56,89.17,64499,"12:43 ET"
COMM,"Commscope Holding Company",13.19,-0.11,-0.83%,13.35,13.58,13.17,859162,"12:49 ET"
CONE,"Cyrusone Inc",73.35,-1.25,-1.68%,74.89,75.48,73.29,324495,"12:50 ET"
COOP,"Mr.Cooper Group Inc",30.68,0.25,+0.82%,30.56,30.9,30.29,237307,"12:46 ET"
CORE,"Core Mark Holding",30.04,0.45,+1.52%,29.72,30.17,29.72,20482,"12:48 ET"
CORT,"Corcept Therapeutics",27.22,0.17,+0.63%,27.17,27.56,26.96,152286,"12:49 ET"
COST,"Costco Wholesale",361.46,-0.56999999999999,-0.16%,362.45,363.1,359.5,831301,"12:48 ET"
COUP,"Coupa Software Inc",357.06,-4.09,-1.13%,363.08,364.1,353.01,404448,"12:49 ET"
CPRT,"Copart Inc",123.59,0.55,+0.45%,123.25,124.09,123.08,216096,"12:50 ET"
CREE,"Cree Inc",104.86,1.45,+1.40%,104.21,105.97,102.55,485690,"12:47 ET"
CRNC,"Cerence Inc",110.58,1.5,+1.38%,113.1,114.36,107.75,458835,"12:47 ET"
CRON,"Cronos Group Inc",7.64,0.06,+0.79%,7.56,7.78,7.38,1706613,"12:49 ET"
CROX,"Crocs Inc",64.34,-0.42,-0.65%,64.77,65.62,63.9,237410,"12:48 ET"
CRSP,"Crispr Therapeutics Ag",177,6.92,+4.07%,176.56,178.09,168.3,1271752,"12:49 ET"
CRSR,"Corsair Gaming Inc",39,-1.95,-4.76%,41,41.7,38.5,1339127,"12:49 ET"
CRTO,"Criteo S.A. Ads",21.15,1.22,+6.12%,20.5,22.48,20.38,517004,"12:48 ET"
CRTX,"Cortexyme Inc",29.87,0.92,+3.18%,29.26,30.47,28.5,155178,"12:49 ET"
CRUS,"Cirrus Logic Inc",82.01,1.51,+1.88%,80.37,82.14,80.37,63722,"12:48 ET"
CRVL,"Corvel Cp",105.02,0.78,+0.75%,104.19,106.73,104.19,5845,"12:49 ET"
CRWD,"Crowdstrike Holdings Inc",220.98,-3.92,-1.74%,225.63,230.2,216.21,3199238,"12:49 ET"
