Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",118.01,0.64,+0.55%,118,118.89,117.65,408216,"12:52 ET"
AAL,"American Airlines Gp",15.93,0.45,+2.91%,15.51,16.17,15.25,43812510,"12:51 ET"
AAP,"Advance Auto Parts Inc",158.59,-0.81,-0.51%,158.68,160.46,158.5,259364,"12:51 ET"
AAPL,"Apple Inc",131.97,0.090000000000003,+0.07%,132.16,132.58,130.78,48680232,"12:52 ET"
AAXN,"Axon Inc",132.01,3.51,+2.73%,129.04,134.51,129.04,333794,"12:49 ET"
ABBV,"Abbvie Inc",103.73,0.93000000000001,+0.90%,103.06,103.925,102.85,1423115,"12:52 ET"
ABC,"Amerisourcebergen Corp",97.5,0.78,+0.81%,97.04,97.6,96.67,187845,"12:52 ET"
ABMD,"Abiomed Inc",306.88,4.55,+1.50%,304.34,309.11,300.81,54127,"12:51 ET"
ABT,"Abbott Laboratories",108.73,0.45,+0.42%,108.87,109.68,108.18,901311,"12:52 ET"
ACAD,"Acadia Pharmaceutica",55.41,-0.18000000000001,-0.32%,55.72,55.9,54.86,298220,"12:50 ET"
ACC,"American Campus Communities Inc",42.92,-0.68,-1.56%,43.87,44.02,42.83,179939,"12:51 ET"
ACGL,"Arch Capital Grp Ltd",35.11,0.53,+1.53%,34.88,35.52,34.85,431883,"12:50 ET"
ACHC,"Acadia Healthcr Company",49.66,1.22,+2.52%,48.92,49.83,48.8,153596,"12:50 ET"
ACI,"Albertsons Companies Inc Cl A",16.06,0.25,+1.58%,15.9,16.18,15.83,873020,"12:51 ET"
ACM,"Aecom Technology Corp",48.72,0.79,+1.65%,48.3,48.97,48.28,236279,"12:49 ET"
ACN,"Accenture Plc",259.68,0.20999999999998,+0.08%,260.83,261.92,259.02,581665,"12:52 ET"
ADBE,"Adobe Systems Inc",501.19,-2.98,-0.59%,505.13,506,498.66,557899,"12:51 ET"
ADI,"Analog Devices",144.42,0.13999999999999,+0.10%,144.8,145.53,144.1,682462,"12:51 ET"
ADM,"Archer Daniels Midland",49.28,0.55,+1.13%,49.02,49.43,48.73,407137,"12:50 ET"
ADP,"Automatic Data Procs",175.99,-0.34999999999999,-0.20%,177.5,178.05,175.63,308175,"12:49 ET"
ADPT,"Adaptive Biotechnologies Corp",65.17,-0.22,-0.34%,65.21,65.69,63.23,386496,"12:39 ET"
ADS,"Alliance Data Systems Corp",71.61,3.91,+5.78%,68.88,73,68.22,438041,"12:49 ET"
ADSK,"Autodesk Inc",302.5,-1.36,-0.45%,305.65,306.95,300.07,240314,"12:49 ET"
ADT,"ADT Inc",8.195,0.065,+0.80%,8.13,8.26,8.1,735184,"12:52 ET"
AEE,"Ameren Corp",76.38,-0.17,-0.22%,76.8,77.17,76.05,414706,"12:52 ET"
AEP,"American Electric Power Company",81.39,-0.010000000000005,-0.01%,81.89,82.27,81.33,784601,"12:51 ET"
AES,"The Aes Corp",23.455,0.635,+2.78%,23.14,23.46,23.01,1810648,"12:51 ET"
AFG,"American Financial Group",86.5,1.86,+2.20%,85.39,86.71,85.39,65606,"12:44 ET"
AFL,"Aflac Inc",43.68,0.65,+1.51%,43.42,43.9,42.7,863092,"12:50 ET"
AGCO,"Agco Corp",103.31,0.21000000000001,+0.20%,103.6,103.8,102.5,170905,"12:51 ET"
AGIO,"Agios Pharmaceuticals",43.36,1.51,+3.61%,41.48,43.43,41.15,266876,"12:51 ET"
AGNC,"American Capital Age",15.735,0.305,+1.98%,15.45,15.765,15.45,4007686,"12:51 ET"
AGO,"Assured Guaranty Ltd",31.58,1.19,+3.92%,30.77,31.96,30.77,190304,"12:41 ET"
AGR,"Avangrid Inc",45.05,0.62,+1.40%,44.59,45.28,44.53,112350,"12:50 ET"
AIG,"American International Group",37.55,0.75,+2.04%,37.25,38.04,37.24,1464831,"12:51 ET"
AIV,"Apartment Investment and Management",5.12,0.04,+0.79%,5.09,5.25,5,5768231,"12:52 ET"
AIZ,"Assurant Inc",132.07,0.57999999999998,+0.44%,131.57,133.45,131.57,77396,"12:51 ET"
AJG,"Arthur J. Gallagher & Company",123.69,-0.12,-0.10%,124.13,124.74,123.52,159888,"12:49 ET"
AKAM,"Akamai Technologies",107.54,0.90000000000001,+0.84%,106.95,108.06,106.8,381260,"12:52 ET"
AL,"Air Lease Corp Cl A",41.96,1.22,+2.99%,41.45,42.42,40.92,177542,"12:50 ET"
ALB,"Albemarle Corp",151.52,5.25,+3.59%,147.85,152.84,147.26,780986,"12:47 ET"
ALGN,"Align Technology",531.68,-4.9100000000001,-0.92%,540.52,542.93,530.35,96557,"12:50 ET"
ALK,"Alaska Air Group",51.69,1.34,+2.66%,50.63,52.68,50.5,1178869,"12:50 ET"
ALKS,"Alkermes Plc",21.32,-0.16,-0.74%,21.63,21.63,21.13,334942,"12:51 ET"
ALL,"Allstate Corp",106.57,0.38,+0.36%,106.43,107.55,106.25,390220,"12:49 ET"
ALLE,"Allegion Plc",112.94,0.55,+0.49%,112.78,113.43,111.7,74584,"12:47 ET"
ALLY,"Ally Financial",34.85,0.65,+1.90%,34.6,34.98,34.31,1198897,"12:52 ET"
ALNY,"Alnylam Pharmaceuticals",137.34,-0.97,-0.70%,138.3,140.01,135.47,174264,"12:49 ET"
ALSN,"Allison Transmission Holdings",43.68,0.64,+1.49%,43.36,43.77,43.05,127144,"12:49 ET"
ALXN,"Alexion Pharm Inc",153.7,-0.11000000000001,-0.07%,154.15,154.23,153.36,1213481,"12:50 ET"
AM,"Antero Midstream Corp",8.45,0.039999999999999,+0.48%,8.48,8.62,8.43,2693649,"12:50 ET"
AMAT,"Applied Materials",85.15,-0.48999999999999,-0.57%,86.3,86.5,84.73,1365797,"12:52 ET"
AMCR,"Amcor Plc",11.57,0.07,+0.61%,11.54,11.65,11.53,680059,"12:45 ET"
AMD,"Adv Micro Devices",91.78,-1.38,-1.48%,93.08,93.13,91.51,14169897,"12:51 ET"
AME,"Amtek Inc",119.28,1.62,+1.38%,118.25,119.42,117.53,146878,"12:50 ET"
AMED,"Amedisys Inc",291.54,2.63,+0.91%,291.05,296.2,291.05,54334,"12:48 ET"
AMG,"Affiliated Managers Group",101.86,2.45,+2.46%,99.83,101.86,99.83,105620,"12:50 ET"
AMGN,"Amgen Inc",222.8,1.81,+0.82%,221.48,223.45,220.66,687640,"12:51 ET"
AMH,"American Homes 4 Rent",29.6,-0.24,-0.80%,29.9,30.07,29.6,389676,"12:51 ET"
AMP,"Ameriprise Financial Services",188.25,3.19,+1.72%,185.63,188.7,185.43,181561,"12:49 ET"
AMT,"American Tower Corp",221,0.50999999999999,+0.23%,221.27,223.6,220.92,527055,"12:52 ET"
AMZN,"Amazon.com Inc",3200.74,-5.7800000000002,-0.18%,3205,3206.2,3186.64,1029699,"12:52 ET"
AN,"Autonation Inc",67.22,0.65000000000001,+0.98%,66.43,67.31,66.36,140791,"12:52 ET"
ANAT,"Amer Natl Insurance",93.19,0.33000000000001,+0.36%,92.6,94.24,91.91,10914,"11:57 ET"
ANET,"Arista Networks Inc",290.32,-0.5,-0.17%,290.11,292.41,287.7,100422,"12:51 ET"
ANSS,"Ansys Inc",363.52,1.21,+0.33%,364.72,369.57,362.4,134119,"12:52 ET"
ANTM,"Anthem Inc",311.22,7.92,+2.61%,306.43,311.62,306.43,282520,"12:52 ET"
AON,"AON Plc",209,-0.22999999999999,-0.11%,210.37,211.66,208.64,414667,"12:50 ET"
AOS,"Smith A.O. Corp",55.25,-0.11,-0.20%,55.45,55.51,54.7,180993,"12:48 ET"
APA,"Apache Corp",14.81,0.69,+4.89%,14.33,15.16,14.23,4448910,"12:51 ET"
APD,"Air Products and Chemicals",267.33,3.32,+1.26%,266.04,268.905,264.01,263309,"12:50 ET"
