Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAXN,"Axon Inc",132.01,3.51,+2.73%,134.73,129.04,340249,"12:49 ET"
ACC,"American Campus Communities Inc",42.92,-0.68,-1.56%,44.02,42.76,181070,"12:51 ET"
ACHC,"Acadia Healthcr Company",49.67,1.23,+2.54%,49.83,48.76,157218,"12:53 ET"
ACIW,"Aci Worldwide Inc",38.12,0.16999999999999,+0.45%,38.52,37.79,178197,"12:51 ET"
ACM,"Aecom Technology Corp",48.77,0.84,+1.75%,48.97,48.28,245027,"12:53 ET"
ADNT,"Adient Plc",34.89,0.16,+0.46%,35.69,34.83,130715,"12:50 ET"
ADS,"Alliance Data Systems Corp",71.61,3.91,+5.78%,73.13,68.22,446136,"12:49 ET"
AEO,"American Eagle Outfitters",20.15,0.7,+3.60%,20.25,19.5,1184430,"12:53 ET"
AFG,"American Financial Group",86.5,1.86,+2.20%,86.71,85.39,69078,"12:44 ET"
AGCO,"Agco Corp",103.41,0.31,+0.30%,103.8,102.5,172256,"12:53 ET"
ALE,"Allete Inc",59.68,0.3,+0.51%,60.46,59.51,83121,"12:45 ET"
AM,"Antero Midstream Corp",8.45,0.039999999999999,+0.48%,8.62,8.43,2731900,"12:53 ET"
AMCX,"Amc Networks Cl A",33.58,2.07,+6.57%,33.9,31.89,456281,"12:52 ET"
AMED,"Amedisys Inc",291.36,2.45,+0.85%,296.2,290.79,54553,"12:52 ET"
AMG,"Affiliated Managers Group",101.89,2.48,+2.49%,101.89,99.83,107784,"12:52 ET"
AN,"Autonation Inc",67.22,0.65000000000001,+0.98%,67.31,66.36,143565,"12:52 ET"
ARW,"Arrow Electronics",96.58,0.72,+0.75%,97.26,95.44,125451,"12:49 ET"
ARWR,"Arrowhead Pharma",83.74,0.91,+1.10%,84,81.74,234099,"12:52 ET"
ASB,"Associated Banc-Corp",16.96,0.59,+3.60%,17.02,16.43,309152,"12:53 ET"
ASGN,"On Assignment",84.1,1.4,+1.69%,84.41,83.59,28046,"12:51 ET"
ASH,"Ashland Global Holdings Inc",78.71,0.84999999999999,+1.09%,79.68,78.13,214733,"12:50 ET"
ATGE,"Adtalem Global Education Inc",33.14,-0.13,-0.39%,33.5,32.73,78119,"12:51 ET"
ATR,Aptargroup,135.36,0.86000000000001,+0.64%,135.75,134.45,35347,"12:38 ET"
AVNS,"Avanos Medical Inc",46.81,0.55,+1.19%,46.84,46.38,88254,"12:52 ET"
AVNT,"Avient Corp",40.16,-0.1,-0.25%,40.61,40.01,98471,"12:49 ET"
AVT,"Avnet Inc",34.31,0.26000000000001,+0.76%,35.09,33.64,510220,"12:53 ET"
AYI,"Acuity Brands Inc",118.37,3.45,+3.00%,119.47,116.2,196254,"12:46 ET"
BC,"Brunswick Corp",82.08,-0.51000000000001,-0.62%,84,81.85,224432,"12:51 ET"
BCO,"Brink's Company",70.8,0.56999999999999,+0.81%,71.44,69.93,84412,"12:50 ET"
BDC,"Belden Inc",41.22,0.44,+1.08%,41.72,41.06,31724,"12:52 ET"
BHF,"Brighthouse Financial Inc",35.24,1.61,+4.79%,35.33,34.09,183213,"12:44 ET"
BJ,"Bj's Wholesale Club Holdings Inc",38.1,-0.54,-1.40%,38.75,37.74,877389,"12:53 ET"
BKH,"Black Hills Corp",59.57,-0.53,-0.88%,60.87,59.54,60850,"12:49 ET"
BLD,"Topbuild Corp",195.32,-3.46,-1.74%,200.14,192.81,42084,"12:50 ET"
BLDR,"Builders Firstsource",41.06,0.010000000000005,+0.02%,41.52,40.62,677259,"12:53 ET"
BLKB,"Blackbaud Inc",58.79,-0.47,-0.79%,59.9,58.44,130495,"12:49 ET"
BOH,"Bank of Hawaii Corp",77.05,1.18,+1.56%,77.5,76.08,51675,"12:45 ET"
BRO,"Brown & Brown",45.64,-0.049999999999997,-0.11%,46.25,45.56,251878,"12:52 ET"
BRX,"Brixmor Property Group Inc",16.21,0.26,+1.63%,16.4,15.99,381937,"12:51 ET"
BXS,"Bancorpsouth Inc",27.45,0.35,+1.29%,27.88,27.27,105185,"12:53 ET"
BYD,"Boyd Gaming Corp",42.44,-0.11,-0.26%,43.02,42.1,351615,"12:51 ET"
CABO,"Cable One Inc",2238,-7.4299999999998,-0.33%,2238.24,2223.14,12434,"12:31 ET"
CACI,"Caci International",247.93,1.98,+0.81%,248.55,245.23,25135,"12:52 ET"
CAR,"Avis Budget Group",35.74,1.07,+3.09%,36.25,34.95,402642,"12:52 ET"
CASY,"Casey's General Stor",178.45,0.81,+0.46%,180.4,177.36,87573,"12:42 ET"
CATY,"Cathay Genl Bncp",31.46,1.11,+3.66%,31.46,30.51,139531,"12:53 ET"
CBRL,"Cracker Barrel",135.55,0.0099999999999909,+0.01%,137,135.29,70418,"12:50 ET"
CBSH,"Commerce Bancshares",67.49,2.52,+3.88%,67.7,65.2,288922,"12:52 ET"
